Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,8,32,32,32,128,3,3, 0.0162032,37275.3
conv_2,8,32,32,128,128,3,3,0.0164944,146469
conv_3,8,32,32,128,256,3,3,0.0247776,195008
conv_4,8,32,32,256,256,3,3,0.04056,238256
conv_5,8,16,16,256,512,3,3,0.0251824,191874
conv_6,8,16,16,512,512,3,3,0.0418992,230641
