Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,8,16,16,128,128,3,3,0.0389328,15513.4
conv_2,8,16,16,256,256,3,3,0.0398064,60691.7
conv_3,8,16,16,384,384,3,3,0.039952,136059
conv_4,8,16,16,512,512,3,3,0.0399584,241843
conv_5,8,16,16,640,640,3,3,0.0415632,363290
conv_6,8,16,16,768,768,3,3,0.0445392,488183
conv_7,8,16,16,896,896,3,3,0.0469824,629917
conv_8,8,16,16,1024,1024,3,3,0.0511568,755612
conv_9,8,16,16,1152,1152,3,3,0.0823344,594191
conv_10,8,16,16,1280,1280,3,3,0.0837616,721070
conv_11,8,16,16,1408,1408,3,3,0.151418,482649
conv_12,8,16,16,1536,1536,3,3,0.152574,570037
conv_13,8,16,16,1664,1664,3,3,0.159117,641495
conv_14,8,16,16,1792,1792,3,3,0.157966,749400
conv_15,8,16,16,1920,1920,3,3,0.165982,818734
conv_16,8,16,16,2048,2048,3,3,0.160314,964477
conv_17,8,32,32,128,128,3,3,0.0390672,61840.1
conv_18,8,32,32,256,256,3,3,0.0446304,216527
conv_19,8,32,32,384,384,3,3,0.0832416,261207
conv_20,8,32,32,512,512,3,3,0.0876944,440789
conv_21,8,32,32,640,640,3,3,0.126933,475826
conv_22,8,32,32,768,768,3,3,0.137784,631228
conv_23,8,32,32,896,896,3,3,0.17769,666218
conv_24,8,32,32,1024,1024,3,3,0.186582,828689
conv_25,8,32,32,1152,1152,3,3,0.312403,626400
conv_26,8,32,32,1280,1280,3,3,0.31521,766448
conv_27,8,32,32,1408,1408,3,3,0.391634,746428
conv_28,8,32,32,1536,1536,3,3,0.390717,890395
conv_29,8,32,32,1664,1664,3,3,0.475462,858723
conv_30,8,32,32,1792,1792,3,3,0.475677,995466
conv_31,8,32,32,1920,1920,3,3,0.561443,968187
conv_32,8,32,32,2048,2048,3,3,0.55737,1.10963e+06
conv_33,8,64,64,128,128,3,3,0.150582,64175.3
conv_34,8,64,64,256,256,3,3,0.170525,226681
conv_35,8,64,64,384,384,3,3,0.284925,305249
conv_36,8,64,64,512,512,3,3,0.305237,506554
conv_37,8,64,64,640,640,3,3,0.43356,557228
conv_38,8,64,64,768,768,3,3,0.461318,754126
conv_39,8,64,64,896,896,3,3,0.591301,800811
conv_40,8,64,64,1024,1024,3,3,0.612061,1.01048e+06
conv_41,8,64,64,1152,1152,3,3,1.22273,640174
conv_42,8,64,64,1280,1280,3,3,1.24368,777025
conv_43,8,64,64,1408,1408,3,3,1.48327,788331
conv_44,8,64,64,1536,1536,3,3,1.46842,947663
conv_45,8,64,64,1664,1664,3,3,1.75994,927962
conv_46,8,64,64,1792,1792,3,3,1.76716,1.07182e+06
conv_47,8,64,64,1920,1920,3,3,2.04402,1.06375e+06
conv_48,8,64,64,2048,2048,3,3,2.00167,1.23592e+06
