Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,8,16,16,128,128,3,3,0.0239232,25246.6
conv_2,8,16,16,256,256,3,3,0.0404576,59714.8
conv_3,8,16,16,384,384,3,3,0.0576704,94256.6
conv_4,8,16,16,512,512,3,3,0.075296,128342
conv_5,8,16,16,640,640,3,3,0.092896,162542
conv_6,8,16,16,768,768,3,3,0.190736,113997
conv_7,8,16,16,896,896,3,3,0.220157,134427
conv_8,8,16,16,1024,1024,3,3,0.250067,154577
conv_9,8,16,16,1152,1152,3,3,0.28016,174623
conv_10,8,16,16,1280,1280,3,3,0.311766,193728
conv_11,8,16,16,1408,1408,3,3,0.503778,145067
conv_12,8,16,16,1536,1536,3,3,0.548619,158531
conv_13,8,16,16,1664,1664,3,3,0.594282,171758
conv_14,8,16,16,1792,1792,3,3,0.639421,185136
conv_15,8,16,16,1920,1920,3,3,0.687866,197561
conv_16,8,16,16,2048,2048,3,3,0.949902,162773
conv_17,8,32,32,128,128,3,3,0.0247248,97712.4
conv_18,8,32,32,256,256,3,3,0.0707488,136591
conv_19,8,32,32,384,384,3,3,0.150216,144747
conv_20,8,32,32,512,512,3,3,0.252248,153241
conv_21,8,32,32,640,640,3,3,0.315253,191586
conv_22,8,32,32,768,768,3,3,0.461478,188466
conv_23,8,32,32,896,896,3,3,0.633936,186738
conv_24,8,32,32,1024,1024,3,3,0.835835,184987
conv_25,8,32,32,1152,1152,3,3,1.06568,183628
conv_26,8,32,32,1280,1280,3,3,1.19832,201609
conv_27,8,32,32,1408,1408,3,3,1.46239,199897
conv_28,8,32,32,1536,1536,3,3,1.76929,196628
conv_29,8,32,32,1664,1664,3,3,2.09566,194827
conv_30,8,32,32,1792,1792,3,3,2.25949,209570
conv_31,8,32,32,1920,1920,3,3,2.65277,204911
conv_32,8,32,32,2048,2048,3,3,3.03399,203849
conv_33,8,64,64,128,128,3,3,0.0790496,122248
conv_34,8,64,64,256,256,3,3,0.231315,167108
conv_35,8,64,64,384,384,3,3,0.473882,183533
conv_36,8,64,64,512,512,3,3,0.791026,195466
conv_37,8,64,64,640,640,3,3,1.21976,198065
conv_38,8,64,64,768,768,3,3,1.70383,204183
conv_39,8,64,64,896,896,3,3,2.28077,207614
conv_40,8,64,64,1024,1024,3,3,2.94288,210160
conv_41,8,64,64,1152,1152,3,3,3.81926,204950
conv_42,8,64,64,1280,1280,3,3,4.70535,205376
conv_43,8,64,64,1408,1408,3,3,5.60836,208493
conv_44,8,64,64,1536,1536,3,3,6.65326,209156
conv_45,8,64,64,1664,1664,3,3,7.7524,210665
conv_46,8,64,64,1792,1792,3,3,8.94553,211735
conv_47,8,64,64,1920,1920,3,3,10.2918,211267
conv_48,8,64,64,2048,2048,3,3,11.5986,213293
