Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,8,32,32,32,128,3,3,0.01612,37467.7
conv_2,8,32,32,128,128,3,3,0.016456,146811
conv_3,8,16,16,128,256,3,3,0.0159424,75770.2
conv_4,8,16,16,256,256,3,3,0.02456,98368
conv_5,8,8,8,256,512,3,3,0.0244304,49444.9
conv_6,8,8,8,512,512,3,3,0.0416256,58039.3
