Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,1,16,16,128,128,3,3,0.0389392,1938.86
conv_2,1,16,16,256,256,3,3,0.03984,7580.07
conv_3,1,16,16,384,384,3,3,0.0397616,17088.8
conv_4,1,16,16,512,512,3,3,0.0398832,30287.4
conv_5,1,16,16,640,640,3,3,0.0410912,45932.9
conv_6,1,16,16,768,768,3,3,0.0413456,65736.4
conv_7,1,16,16,896,896,3,3,0.0427904,86453.4
conv_8,1,16,16,1024,1024,3,3,0.0429872,112402
conv_9,1,16,16,1152,1152,3,3,0.0733664,83352.8
conv_10,1,16,16,1280,1280,3,3,0.0724016,104276
conv_11,1,16,16,1408,1408,3,3,0.0732848,124653
conv_12,1,16,16,1536,1536,3,3,0.0723968,150167
conv_13,1,16,16,1664,1664,3,3,0.0746672,170879
conv_14,1,16,16,1792,1792,3,3,0.0734848,201368
conv_15,1,16,16,1920,1920,3,3,0.0769456,220765
conv_16,1,16,16,2048,2048,3,3,0.0755456,255837
conv_17,1,32,32,128,128,3,3,0.0390448,7734.45
conv_18,1,32,32,256,256,3,3,0.0398752,30293.5
conv_19,1,32,32,384,384,3,3,0.0399648,68007.6
conv_20,1,32,32,512,512,3,3,0.0398736,121179
conv_21,1,32,32,640,640,3,3,0.0411056,183667
conv_22,1,32,32,768,768,3,3,0.04132,263108
conv_23,1,32,32,896,896,3,3,0.0428416,345400
conv_24,1,32,32,1024,1024,3,3,0.043368,445659
conv_25,1,32,32,1152,1152,3,3,0.074112,330057
conv_26,1,32,32,1280,1280,3,3,0.0742864,406521
conv_27,1,32,32,1408,1408,3,3,0.0762928,478954
conv_28,1,32,32,1536,1536,3,3,0.075936,572674
conv_29,1,32,32,1664,1664,3,3,0.0793504,643176
conv_30,1,32,32,1792,1792,3,3,0.0797664,742042
conv_31,1,32,32,1920,1920,3,3,0.083048,818174
conv_32,1,32,32,2048,2048,3,3,0.0824592,937547
conv_33,1,64,64,128,128,3,3,0.0389136,31042.1
conv_34,1,64,64,256,256,3,3,0.0397424,121579
conv_35,1,64,64,384,384,3,3,0.0424736,255962
conv_36,1,64,64,512,512,3,3,0.0457072,422851
conv_37,1,64,64,640,640,3,3,0.0796768,379019
conv_38,1,64,64,768,768,3,3,0.0887456,490014
conv_39,1,64,64,896,896,3,3,0.092672,638704
conv_40,1,64,64,1024,1024,3,3,0.0956352,808378
conv_41,1,64,64,1152,1152,3,3,0.159827,612191
conv_42,1,64,64,1280,1280,3,3,0.16195,745882
conv_43,1,64,64,1408,1408,3,3,0.231731,630744
conv_44,1,64,64,1536,1536,3,3,0.231952,749923
conv_45,1,64,64,1664,1664,3,3,0.242962,840236
conv_46,1,64,64,1792,1792,3,3,0.242189,977585
conv_47,1,64,64,1920,1920,3,3,0.316059,859937
conv_48,1,64,64,2048,2048,3,3,0.316395,977378
