Layer,N,H,W,C,K,R,S,Runtime,GFLOPs
conv_1,1,16,16,128,128,3,3,0.0158272,4770.11
conv_2,1,16,16,256,256,3,3,0.0244496,12351.5
conv_3,1,16,16,384,384,3,3,0.033,20590.2
conv_4,1,16,16,512,512,3,3,0.0416,29037.5
conv_5,1,16,16,640,640,3,3,0.0501392,37643.9
conv_6,1,16,16,768,768,3,3,0.0587984,46224.2
conv_7,1,16,16,896,896,3,3,0.06732,54952.1
conv_8,1,16,16,1024,1024,3,3,0.0758528,63700.2
conv_9,1,16,16,1152,1152,3,3,0.0848992,72030.1
conv_10,1,16,16,1280,1280,3,3,0.0941616,80178.6
conv_11,1,16,16,1408,1408,3,3,0.102317,89283.4
conv_12,1,16,16,1536,1536,3,3,0.111061,97889
conv_13,1,16,16,1664,1664,3,3,0.11959,106690
conv_14,1,16,16,1792,1792,3,3,0.128285,115349
conv_15,1,16,16,1920,1920,3,3,0.136845,124133
conv_16,1,16,16,2048,2048,3,3,0.145698,132654
conv_17,1,32,32,128,128,3,3,0.0159232,18965.4
conv_18,1,32,32,256,256,3,3,0.0244672,49370.6
conv_19,1,32,32,384,384,3,3,0.0330096,82336.9
conv_20,1,32,32,512,512,3,3,0.0417568,115714
conv_21,1,32,32,640,640,3,3,0.0504064,149778
conv_22,1,32,32,768,768,3,3,0.0591184,183896
conv_23,1,32,32,896,896,3,3,0.067776,218330
conv_24,1,32,32,1024,1024,3,3,0.0765216,252574
conv_25,1,32,32,1152,1152,3,3,0.08644,282984
conv_26,1,32,32,1280,1280,3,3,0.0953776,316626
conv_27,1,32,32,1408,1408,3,3,0.178962,204182
conv_28,1,32,32,1536,1536,3,3,0.194454,223634
conv_29,1,32,32,1664,1664,3,3,0.209344,243792
conv_30,1,32,32,1792,1792,3,3,0.224672,263451
conv_31,1,32,32,1920,1920,3,3,0.239634,283548
conv_32,1,32,32,2048,2048,3,3,0.254944,303241
conv_33,1,64,64,128,128,3,3,0.0159744,75618.5
conv_34,1,64,64,256,256,3,3,0.024984,193397
conv_35,1,64,64,384,384,3,3,0.0559568,194286
conv_36,1,64,64,512,512,3,3,0.0713232,270983
conv_37,1,64,64,640,640,3,3,0.0867232,348223
conv_38,1,64,64,768,768,3,3,0.150634,288691
conv_39,1,64,64,896,896,3,3,0.172795,342544
conv_40,1,64,64,1024,1024,3,3,0.255083,303075
conv_41,1,64,64,1152,1152,3,3,0.284464,343962
conv_42,1,64,64,1280,1280,3,3,0.317104,380935
conv_43,1,64,64,1408,1408,3,3,0.426376,342803
conv_44,1,64,64,1536,1536,3,3,0.465142,373963
conv_45,1,64,64,1664,1664,3,3,0.596362,342318
conv_46,1,64,64,1792,1792,3,3,0.641555,369041
conv_47,1,64,64,1920,1920,3,3,0.686752,395763
conv_48,1,64,64,2048,2048,3,3,0.848077,364634
